pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,4,3,19,3,,,,,115.45446587000515,116.44118710715065,116.44118710715065,116.44118710715065,116.44118710715065,116.45786917937176,117.44430092089169,117.44430092089169,z,1,0.4036583087527106,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,5,0,20,0,,,,,117.8792048560399,118.86587869921959,118.86587869921959,118.86587869921959,118.86587869921959,118.88254537594867,119.86913197800686,119.86913197800686,x,1,0.47452466441063734,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,5,1,21,1,,,,,120.37110561971667,121.35824102578636,121.35824102578636,121.35824102578636,121.35824102578636,121.37498256686922,122.36140706345168,122.36140706345168,v,1,0.4789226433144904,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,5,2,22,2,,,,,122.86303294816435,123.8498172766399,123.8498172766399,123.8498172766399,123.8498172766399,123.86650689567114,124.8532205860065,124.8532205860065,c,1,0.5626949494203473,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,5,3,23,3,,,,,125.43870028237143,126.4259410419063,126.4259410419063,126.4259410419063,126.4259410419063,126.44268771481984,127.42944427103521,127.42944427103521,z,1,0.3858864771905246,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,6,0,24,0,,,,,127.84753029138528,128.83383011466913,128.83383011466913,128.83383011466913,128.83383011466913,128.85057075013447,129.83722678284312,129.83722678284312,x,1,0.5063513727513964,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,6,1,25,1,,,,,130.37243868820724,131.35971808740896,131.35971808740896,131.35971808740896,131.35971808740896,131.37652332356674,132.36265741890656,132.36265741890656,v,1,0.9891772485289039,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,6,2,26,2,,,,,133.3829577336387,134.37025584892854,134.37025584892854,134.37025584892854,134.37025584892854,134.38706168883118,135.3737005148132,135.3737005148132,c,1,0.4415161256479223,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,6,3,27,3,,,,,135.8417331339365,136.8283496213612,136.8283496213612,136.8283496213612,136.8283496213612,136.84501931681416,137.83173391276705,137.83173391276705,z,1,0.5438046806393686,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,7,0,28,0,,,,,138.4006094199881,139.38717730595772,139.38717730595772,139.38717730595772,139.38717730595772,139.40386088754076,140.39065034784744,140.39065034784744,x,1,1.0570064660332719,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,7,1,29,1,,,,,141.47817704091403,142.4650265738269,142.4650265738269,142.4650265738269,142.4650265738269,142.48170985353727,143.46861251599148,143.46861251599148,v,1,0.7623195409114487,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,7,2,30,2,,,,,144.25446906985235,145.2408706241331,145.2408706241331,145.2408706241331,145.2408706241331,145.25758650606258,146.2442026916151,146.2442026916151,c,1,0.5634206506547343,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,7,3,31,3,,,,,146.82995316751658,147.81696359841544,147.81696359841544,147.81696359841544,147.81696359841544,147.83366800919384,148.8201718982159,148.8201718982159,z,1,0.5159811021107998,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,8,0,32,0,,,,,149.3552938456064,150.34208451340282,150.34208451340282,150.34208451340282,150.34208451340282,150.35885201551127,151.34547846472515,151.34547846472515,x,1,1.1102522281976235,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,8,1,33,1,,,,,152.48267554332506,153.469528396834,153.469528396834,153.469528396834,153.469528396834,153.48622254395104,154.47281699469113,154.47281699469113,v,1,0.830385124500026,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,8,2,34,2,,,,,155.3263741684168,156.31273738490336,156.31273738490336,156.31273738490336,156.31273738490336,156.3294903971373,157.31668859266483,157.31668859266483,c,1,0.562782794287159,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,8,3,35,3,,,,,157.90127112427535,158.88882884982377,158.88882884982377,158.88882884982377,158.88882884982377,158.90522263390903,159.89213042819392,159.89213042819392,z,1,0.5309754057789178,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,9,0,36,0,,,,,160.4439736912168,161.4304950888377,161.4304950888377,161.4304950888377,161.4304950888377,161.4472813070347,162.43408284223733,162.43408284223733,x,1,0.4858418604508188,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,9,1,37,1,,,,,162.9524318538165,163.93953858200848,163.93953858200848,163.93953858200848,163.93953858200848,163.95625295457603,164.94297207861473,164.94297207861473,v,1,0.4721893795726828,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,9,2,38,2,,,,,165.44476972871917,166.43167963611086,166.43167963611086,166.43167963611086,166.43167963611086,166.44846434494593,167.43543341932673,167.43543341932673,c,1,0.5082353583607073,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,9,3,39,3,,,,,167.97043099529128,168.9572340398554,168.9572340398554,168.9572340398554,168.9572340398554,168.97386177504586,169.96026393307102,169.96026393307102,z,1,0.5270884968372229,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,10,0,40,0,,,,,170.5117651746723,171.49946296901135,171.49946296901135,171.49946296901135,171.49946296901135,171.51587335607837,172.50233015300682,172.50233015300682,x,1,0.5138073190041723,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,10,1,41,1,,,,,173.03759398042303,174.0245395087568,174.0245395087568,174.0245395087568,174.0245395087568,174.04127440864704,175.02798296715173,175.02798296715173,v,1,0.7400860353700409,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,10,2,42,2,,,,,175.7970475672405,176.78392306117894,176.78392306117894,176.78392306117894,176.78392306117894,176.80064075434257,177.78791532358582,177.78791532358582,c,1,0.5234095779751442,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,10,3,43,3,,,,,178.33946516664264,179.32651936903812,179.32651936903812,179.32651936903812,179.32651936903812,179.34343086427862,180.3302043253484,180.3302043253484,z,1,0.5255543813327677,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,11,0,44,0,,,,,180.88159719476016,181.86831631879886,181.86831631879886,181.86831631879886,181.86831631879886,181.8847273096103,182.87190165721904,182.87190165721904,x,1,0.4475354611781768,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,11,1,45,1,,,,,183.34040912161754,184.32686078671577,184.32686078671577,184.32686078671577,184.32686078671577,184.34364157120945,185.3300841801356,185.3300841801356,v,1,0.7567937667445221,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,11,2,46,2,,,,,186.11626192622361,187.1031449669722,187.1031449669722,187.1031449669722,187.1031449669722,187.1199595611738,188.10651899471668,188.10651899471668,c,1,0.4931984906852449,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,11,3,47,3,,,,,188.62528609956098,189.61226664509286,189.61226664509286,189.61226664509286,189.61226664509286,189.6291256145364,190.61575749745361,190.61575749745361,z,1,0.5114732416554943,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,12,0,48,0,,,,,191.1506307019922,192.13701233269467,192.13701233269467,192.13701233269467,192.13701233269467,192.1541731745324,193.14123945182382,193.14123945182382,x,1,0.4341308175357881,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,12,1,49,1,,,,,193.59232706787088,194.57970336811104,194.57970336811104,194.57970336811104,194.57970336811104,194.5960974540685,195.58288208441672,195.58288208441672,v,1,0.48843977427077334,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,12,2,50,2,,,,,196.10131803524519,197.08840574547685,197.08840574547685,197.08840574547685,197.08840574547685,197.10509928884903,198.0912783631752,198.0912783631752,c,1,0.5405837021980915,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,12,3,51,3,,,,,198.66001651845727,199.64695389623648,199.64695389623648,199.64695389623648,199.64695389623648,199.66358163142695,200.65047282273008,200.65047282273008,z,1,0.5729528752308397,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,13,0,52,0,,,,,201.2521211063745,202.23913425412456,202.23913425412456,202.23913425412456,202.23913425412456,202.25576198931458,203.24299580578463,203.24299580578463,x,1,0.44456956491012534,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,13,1,53,1,,,,,203.7109408819142,204.69758695283372,204.69758695283372,204.69758695283372,204.69758695283372,204.7143109853173,205.701574989027,205.701574989027,v,1,0.8179606605199297,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,13,2,54,2,,,,,206.53739866898422,207.52435868719294,207.52435868719294,207.52435868719294,207.52435868719294,207.5412505607278,208.52807322699755,208.52807322699755,c,1,0.9189333537465245,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
